#subject	variable	frenchUnity	englishUnity	frenchDescription	englishDescription		
SafePlot	nminLeaf	kg/ha	kg/ha	N mineralized from Leaf Litter	N mineralized from Leaf Litter		
SafePlot	nminFineroot	kg/ha	kg/ha	N mineralized from Fine Roots in ProfHum	N mineralized from Fine Roots in ProfHum		
SafePlot	nminCoarseroot	kg/ha	kg/ha	N mineralized from Coarse Roots in ProfHum	N mineralized from Coarse Roots in ProfHum		
SafePlot	nminTotal	kg/ha	kg/ha	N mineralized from All residus in ProfHum	N mineralized from All residus in ProfHum		
SafePlot	coarserootSenCn	-	-	Coarse Roots Litter C/N ratio	Coarse Roots Litter C/N ratio		
SafePlot	finerootSenCn	-	-	Fine Roots Litter C/N ratio	Fine Roots Litter C/N ratio		
SafePlot	nFineRootSenInProfHum	kg/ha	kg/ha	nFineRootSenInProfHum	nFineRootSenInProfHum		
SafePlot	nCoarseRootSenInProfHum	kg/ha	kg/ha	nCoarseRootSenInProfHum	nCoarseRootSenInProfHum		
SafePlot	qFineRootSenInProfHum	kg/ha	kg/ha	qFineRootSenInProfHum	qFineRootSenInProfHum		
SafePlot	qCoarseRootSenInProfHum	kg/ha	kg/ha	qCoarseRootSenInProfHum	qCoarseRootSenInProfHum		
SafePlot	totalCarbonFineRootSen	kg/ha	kg/ha	totalCarbonFineRootSen	totalCarbonFineRootSen		
SafePlot	totalNitrogenFineRootSen	kg/ha	kg/ha	totalNitrogenFineRootSen	totalNitrogenFineRootSen		
SafePlot	totalCarbonCoarseRootSen	kg/ha	kg/ha	totalCarbonCoarseRootSen	totalCarbonCoarseRootSen		
SafePlot	totalNitrogenCoarseRootSen	kg/ha	kg/ha	totalNitrogenCoarseRootSen	totalNitrogenCoarseRootSen		
SafePlot	nitrogenResiduMineralisation	kg/ha	kg/ha	nitrogenResiduMineralisation	nitrogenResiduMineralisation		
SafePlot	inactiveNitHumusStock	kg/ha	kg/ha	inactiveNitrogenHumusStock	inactiveNitrogenHumusStock		
SafePlot	nitrogenResidus	-	-	nitrogenResidus	nitrogenResidus		
SafePlot	carbonResidus	-	-	carbonResidus	carbonResidus		
SafePlot	carbonImmobilisation	-	-	carbonImmobilisation	carbonImmobilisation		
SafePlot	microorgBiomass	-	-	microorgBiomass	microorgBiomass		
SafePlot	nitrogenImmobilisation	-	-	nitrogenImmobilisation	nitrogenImmobilisation		
SafePlot	nitrogenDenitrification	kg/ha	kg/ha	nitrogenDenitrification	nitrogenDenitrification		
SafePlot	nitrogenExportation	t/ha	t/ha	nitrogenExportation	nitrogenExportation		
SafePlot	totalNitHumusStock	kg/ha	kg/ha	totalNitrogenHumusStock	totalNitrogenHumusStock		
SafePlot	nitrogenRestitution	t/ha	t/ha	nitrogenRestitution	nitrogenRestitution		
SafePlot	biomassRestitution	t/ha	t/ha	biomassRestitution	biomassRestitution		
SafePlot	nitrogenLixiviationSTICS	kg/ha	kg/ha	nitrogenLixiviationSTICS	nitrogenLixiviationSTICS		
SafePlot	nitrogenLixiviationTOTAL	kg/ha	kg/ha	nitrogenLixiviationTOTAL	nitrogenLixiviationTOTAL		
SafePlot	nitrogenOrganisation	kg/ha	kg/ha	nitrogenOrganisation	nitrogenOrganisation		
SafePlot	nitrogenVolatilisation	kg/ha	kg/ha	nitrogenVolatilisation	nitrogenVolatilisation		
SafePlot	nitrogenAmendement	kg/ha	kg/ha	nitrogenAmendement	nitrogenAmendement		
SafePlot	nitrogenAvalaibleForCrops	-	-	nitrogenAvalaibleForCrops	nitrogenAvalaibleForCrops		
SafePlot	mineralNitrogenStock	kg/ha	kg/ha	mineralNitrogenStock	mineralNitrogenStock		
SafePlot	activeNitHumusStock	kg/ha	kg/ha	activeNitrogenHumusStock	activeNitrogenHumusStock		
SafePlot	nitrateStock	kg/ha	kg/ha	nitrateStock	nitrateStock		
SafePlot	cropResiduCn	-	-	cropResidu C/N ratio	cropResidu C/N ratio		
SafePlot	totalCarbonHumusStock	t/ha	t/ha	totalCarbonHumusStock	totalCarbonHumusStock		
SafePlot	nminDeepRoots	kg/ha	kg/ha	nminDeepRoots	nminDeepRoots		
SafePlot	nRootSenStock	kg/ha	kg/ha	nRootSenStock	nRootSenStock		
SafePlot	annualWaterExtractedByTrees	mm	mm	annualWaterExtractedByTrees	annualWaterExtractedByTrees		
SafePlot	annualWaterExtractedByCrop	mm	mm	annualWaterExtractedByCrop	annualWaterExtractedByCrop		
SafePlot	annualWaterExtractedByInterCrop	mm	mm	annualWaterExtractedByInterCrop	annualWaterExtractedByInterCrop		
SafePlot	annualWaterEvaporatedInCrop	mm	mm	annualWaterEvaporatedInCrop	annualWaterEvaporatedInCrop		
SafePlot	annualWaterEvaporatedInInterCrop	mm	mm	annualWaterEvaporatedInInterCrop	annualWaterEvaporatedInInterCrop		
SafePlot	annualWaterFromSaturation	mm	mm	annualWaterFromSaturation	annualWaterFromSaturation		
SafePlot	annualWaterToDesaturation	mm	mm	annualWaterToDesaturation	annualWaterToDesaturation		
SafePlot	annualRainTransmitted	mm	mm	annualRainTransmitted	annualRainTransmitted		
SafePlot	annualRunOff	mm	mm	annualRunOff	annualRunOff		
SafePlot	annualSurfaceRunOff	mm	mm	annualSurfaceRunOff	annualSurfaceRunOff		
SafePlot	annualInterceptedRain	mm	mm	annualInterceptedWater	annualInterceptedWater		
SafePlot	annualDrainage	mm	mm	annualDrainage	annualDrainage		
SafePlot	annualWaterExtractedInSaturationByTrees	mm	mm	annualWaterExtractedInSaturationByTrees	annualWaterExtractedInSaturationByTrees		
SafePlot	annualWaterExtractedInSaturationByCrops	mm	mm	annualWaterExtractedInSaturationByCrops	annualWaterExtractedInSaturationByCrops		
SafePlot	annualWaterExtractedInSaturationByInterCrops	mm	mm	annualWaterExtractedInSaturationByInterCrops	annualWaterExtractedInSaturationByInterCrops		
SafePlot	annualParIncident	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident (annuel)	annualParIncident
SafePlot	annualParIncidentCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident cultures (annuel)	annualParIncidentCrops		
SafePlot	annualParIncidentInterCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident interculture (annuel)	annualParIncidentInterCrops		
SafePlot	annualParInterceptedByTrees	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par les arbres (annuel)	annualParInterceptedByTrees		
SafePlot	annualParInterceptedByCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par les cultures (annuel)	annualParInterceptedByCrops		
SafePlot	annualParInterceptedByInterCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par interculture (annuel)	annualParInterceptedByInterCrops		
